item_title,orders_containing,units_sold,avg_price,classification,reason,classification_v3,v3_reason,was_mystery
Sunrise Ankle Compression Socks,450,490,28.63,PATTERN,unrecognized non-color tokens: ['sunrise'],PATTERN,unchanged from v2,
Blue Compression Socks,468,490,25.85,SOLID,"only color+type tokens: ['blue', 'compression', 'socks']",SOLID,unchanged from v2,
Pastel Patch EasyStretch™ Socks,468,489,28.34,PATTERN,"unrecognized non-color tokens: ['pastel', 'patch']",PATTERN,unchanged from v2,
Amber Blooms Ankle Compression Socks,463,486,28.56,PATTERN,"unrecognized non-color tokens: ['amber', 'blooms']",PATTERN,unchanged from v2,
Cosmic Swirl Compression Socks,472,481,28.18,PATTERN,"unrecognized non-color tokens: ['cosmic', 'swirl']",PATTERN,unchanged from v2,
Polar Knit EasyStretch™ Socks 5-Pack Bundle,460,479,56.85,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['polar', 'knit']",
Winter Forest EasyStretch™ Socks,435,478,27.9,PATTERN,"matched: ['winter', 'forest']",PATTERN,unchanged from v2,
Harmony Compression Socks,437,475,25.4,PATTERN,unrecognized non-color tokens: ['harmony'],PATTERN,unchanged from v2,
Mystic Yeti Compression Socks,450,473,26.3,PATTERN,"unrecognized non-color tokens: ['mystic', 'yeti']",PATTERN,unchanged from v2,
Sasquatch Woods Ankle Compression Socks,432,472,26.4,PATTERN,"unrecognized non-color tokens: ['sasquatch', 'woods']",PATTERN,unchanged from v2,
Crystal Garden Compression Socks,445,472,25.54,PATTERN,matched: ['crystal'],PATTERN,unchanged from v2,
Midnight Dual Compression Socks Bundle 5-Pack,465,472,59.99,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['dual'],
Sun Days Ankle Compression Socks,451,470,28.62,PATTERN,matched: ['sun'],PATTERN,unchanged from v2,
Classics EasyStretch™ Socks Bundle 3-Pack,440,469,42.69,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Little Big Foot Compression Socks,446,468,26.27,PATTERN,"unrecognized non-color tokens: ['little', 'big', 'foot']",PATTERN,unchanged from v2,
Starry Cat Compression Socks,436,467,28.04,PATTERN,matched: ['cat'],PATTERN,unchanged from v2,
Jade Compression Socks,428,467,25.41,PATTERN,unrecognized non-color tokens: ['jade'],PATTERN,unchanged from v2,
Strawberry Delight EasyStretch™ Socks,442,465,28.26,PATTERN,"unrecognized non-color tokens: ['strawberry', 'delight']",PATTERN,unchanged from v2,
Van Ghosts Compression Socks,450,464,28.09,PATTERN,"unrecognized non-color tokens: ['van', 'ghosts']",PATTERN,unchanged from v2,
Navy Blue EasyStretch™ Socks Bundle 5-Pack,455,463,55.3,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Pastel Patch Compression Socks,435,456,27.82,PATTERN,"unrecognized non-color tokens: ['pastel', 'patch']",PATTERN,unchanged from v2,
XL Mystery Compression Socks 5-Pack Bundle,428,456,29.2,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Fall Poppies Compression Socks,443,456,27.73,PATTERN,matched: ['fall'],PATTERN,unchanged from v2,
Arctic Aurora Compression Socks 5-Pack Bundle,432,455,56.93,PATTERN,matched: ['aurora'],PATTERN,unchanged from v2,
Pastel Patch Ankle Compression Socks,422,453,28.38,PATTERN,"unrecognized non-color tokens: ['pastel', 'patch']",PATTERN,unchanged from v2,
Pot O Gold EasyStretch™ Socks,423,453,28.72,PATTERN,unrecognized non-color tokens: ['pot'],PATTERN,unchanged from v2,
Sole Invaders Ankle Compression Socks,415,452,26.15,PATTERN,"unrecognized non-color tokens: ['sole', 'invaders']",PATTERN,unchanged from v2,
Spirit Bear Compression Socks,408,451,27.14,PATTERN,matched: ['bear'],PATTERN,unchanged from v2,
Peanuts Mystery Compression Socks Bundle 5-Pack,442,450,67.93,PATTERN,matched: ['peanuts'],PATTERN,unchanged from v2,
Space Snoopy EasyStretch™ Socks,403,449,29.95,PATTERN,"matched: ['space', 'snoopy']",PATTERN,unchanged from v2,
Boo Blossoms Ankle Compression Socks,424,449,28.41,PATTERN,matched: ['blossoms'],PATTERN,unchanged from v2,
Love Letters EasyStretch™ Socks,416,449,29.99,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Starry Cat Ankle Compression Socks,417,448,28.35,PATTERN,matched: ['cat'],PATTERN,unchanged from v2,
Green Plaid Ankle Compression Socks,413,447,28.61,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Gothic EasyStretch™ Socks,412,446,28.01,PATTERN,unrecognized non-color tokens: ['gothic'],PATTERN,unchanged from v2,
Marine Compression Socks 3-Pack Bundle,434,445,40.21,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['marine'],
Mystery Compression Socks Bundle 3-Pack,416,445,40.3,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Kaleidoscope Compression Socks,423,444,25.62,PATTERN,matched: ['kaleidoscope'],PATTERN,unchanged from v2,
Van Ghosts Ankle Compression Socks,411,440,28.33,PATTERN,"unrecognized non-color tokens: ['van', 'ghosts']",PATTERN,unchanged from v2,
Winter Camo EasyStretch™ Socks,397,437,27.79,PATTERN,"matched: ['winter', 'camo']",PATTERN,unchanged from v2,
Buckhorn Compression Socks,392,428,26.61,PATTERN,unrecognized non-color tokens: ['buckhorn'],PATTERN,unchanged from v2,
Emerald Ankle Compression Socks,383,427,27.46,SOLID,"only color+type tokens: ['emerald', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Winter Woodstock Compression Socks,396,427,26.04,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Gray Compression Socks Bundle 5-Pack,417,426,49.5,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Lucky Lotus EasyStretch™ Socks,407,425,28.29,PATTERN,"unrecognized non-color tokens: ['lucky', 'lotus']",PATTERN,unchanged from v2,
Black Red Compression Socks,393,425,26.47,SOLID,"only color+type tokens: ['black', 'red', 'compression', 'socks']",SOLID,unchanged from v2,
Emerald Compression Socks,397,423,27.04,SOLID,"only color+type tokens: ['emerald', 'compression', 'socks']",SOLID,unchanged from v2,
Cozy EasyStretch™ Socks 5-Pack Bundle,409,422,57.18,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['cozy'],
Burnt Cloud Compression Socks,407,421,27.62,PATTERN,matched: ['cloud'],PATTERN,unchanged from v2,
Compression Buy 3 Get 6 Free Mystery Offer,416,418,89.97,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Heather EasyStretch™ Socks 5-Pack Bundle,401,418,56.33,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Dark Secrets Ankle Compression Socks,390,416,26.73,PATTERN,"unrecognized non-color tokens: ['dark', 'secrets']",PATTERN,unchanged from v2,
Love Me Not EasyStretch™ Socks,406,415,29.99,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Pastel Blue Ankle Compression Socks,352,413,26.02,PATTERN,unrecognized non-color tokens: ['pastel'],PATTERN,unchanged from v2,
Lucky Clover Ankle Compression Socks,385,413,26.86,PATTERN,"unrecognized non-color tokens: ['lucky', 'clover']",PATTERN,unchanged from v2,
Checks & Bows Ankle Compression Socks,398,412,28.33,PATTERN,"unrecognized non-color tokens: ['checks', 'bows']",PATTERN,unchanged from v2,
Seahorse Pink Compression Socks,395,410,27.83,PATTERN,unrecognized non-color tokens: ['seahorse'],PATTERN,unchanged from v2,
Fall Poppies EasyStretch™ Socks,390,408,27.45,PATTERN,matched: ['fall'],PATTERN,unchanged from v2,
Lemon Zest EasyStretch™ Socks,383,407,28.31,PATTERN,"unrecognized non-color tokens: ['lemon', 'zest']",PATTERN,unchanged from v2,
Peppermint Parade Compression Socks,377,407,26.42,PATTERN,"unrecognized non-color tokens: ['peppermint', 'parade']",PATTERN,unchanged from v2,
Snow Homes Ankle Compression Socks,385,406,28.26,PATTERN,matched: ['snow'],PATTERN,unchanged from v2,
Classics Compression Socks Bundle 3-Pack,391,405,41.1,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Cobalt Ankle Compression Socks,361,403,27.97,PATTERN,unrecognized non-color tokens: ['cobalt'],PATTERN,unchanged from v2,
Spring Zing Ankle Compression Socks,384,403,25.9,PATTERN,matched: ['spring'],PATTERN,unchanged from v2,
Lucky Clover Compression Socks,374,402,27.08,PATTERN,"unrecognized non-color tokens: ['lucky', 'clover']",PATTERN,unchanged from v2,
Navy Days Ankle Compression Socks,337,401,26.43,PATTERN,unrecognized non-color tokens: ['days'],PATTERN,unchanged from v2,
Ankle Buy 3 Get 6 Free Mystery Offer,400,400,89.97,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Burnt Cloud Ankle Compression Socks,362,400,28.36,PATTERN,matched: ['cloud'],PATTERN,unchanged from v2,
Classic Charlie Brown Compression Socks,373,400,29.97,PATTERN,matched: ['classic'],PATTERN,unchanged from v2,
Big Foots Ankle Compression Socks,389,399,26.53,PATTERN,"unrecognized non-color tokens: ['big', 'foots']",PATTERN,unchanged from v2,
Lucky Clover EasyStretch™ Socks,354,397,28.91,PATTERN,"unrecognized non-color tokens: ['lucky', 'clover']",PATTERN,unchanged from v2,
Pot O Gold Ankle Compression Socks,366,397,27.38,PATTERN,unrecognized non-color tokens: ['pot'],PATTERN,unchanged from v2,
Wild North EasyStretch™ Socks 5-Pack Bundle,379,396,55.09,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['wild', 'north']",
Ski Trip Compression Socks,375,396,26.73,PATTERN,"unrecognized non-color tokens: ['ski', 'trip']",PATTERN,unchanged from v2,
Dark & Delicate EasyStretch™ Socks Bundle 5-Pack,384,395,51.19,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['dark', 'delicate']",
Sole Invaders Compression Socks,362,394,27.09,PATTERN,"unrecognized non-color tokens: ['sole', 'invaders']",PATTERN,unchanged from v2,
Dark Waters Compression Socks Bundle 3-Pack,386,394,41.47,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['dark', 'waters']",
Sunrise EasyStretch™ Socks,367,393,28.19,PATTERN,unrecognized non-color tokens: ['sunrise'],PATTERN,unchanged from v2,
Gray Compression Gripper Socks,275,392,32.35,PATTERN,unrecognized non-color tokens: ['gripper'],PATTERN,unchanged from v2,
Midnight Secrets EasyStretch™ Socks 5-Pack Bundle,372,390,54.14,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['secrets'],
Black Grey EasyStretch™ Socks,329,390,26.93,SOLID,"only color+type tokens: ['black', 'grey', 'easystretch', 'socks']",SOLID,unchanged from v2,
Sweethearts Ankle Compression Socks,358,388,27.97,PATTERN,unrecognized non-color tokens: ['sweethearts'],PATTERN,unchanged from v2,
Cowhide EasyStretch™ Socks,363,387,28.71,PATTERN,unrecognized non-color tokens: ['cowhide'],PATTERN,unchanged from v2,
Highland Roses Compression Socks,353,387,27.76,PATTERN,"unrecognized non-color tokens: ['highland', 'roses']",PATTERN,unchanged from v2,
Army Camo Compression Socks,331,386,24.74,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Limey EasyStretch™ Socks,369,386,28.62,PATTERN,unrecognized non-color tokens: ['limey'],PATTERN,unchanged from v2,
Autumn Breeze EasyStretch™ Socks,361,386,28.5,PATTERN,matched: ['autumn'],PATTERN,unchanged from v2,
Mandala EasyStretch™ Socks 5-Pack Bundle,368,385,56.18,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['mandala'],
Love Stripes Ankle Compression Socks,334,385,27.89,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Winter Plaid Compression Socks 5-Pack Bundle,374,384,57.18,PATTERN,"matched: ['winter', 'plaid']",PATTERN,unchanged from v2,
Amethyst Ankle Compression Socks,343,384,27.92,PATTERN,unrecognized non-color tokens: ['amethyst'],PATTERN,unchanged from v2,
Pearl Ankle Compression Socks,313,380,28.0,PATTERN,unrecognized non-color tokens: ['pearl'],PATTERN,unchanged from v2,
Gray EasyStretch™ Gripper Socks,258,377,32.11,PATTERN,unrecognized non-color tokens: ['gripper'],PATTERN,unchanged from v2,
Chicks Ankle Compression Socks,344,376,26.14,PATTERN,unrecognized non-color tokens: ['chicks'],PATTERN,unchanged from v2,
Sasquatch Woods EasyStretch™ Socks,339,372,28.66,PATTERN,"unrecognized non-color tokens: ['sasquatch', 'woods']",PATTERN,unchanged from v2,
Heather Purple Compression Socks,325,372,26.9,PATTERN,unrecognized non-color tokens: ['heather'],PATTERN,unchanged from v2,
Little Big Foot EasyStretch™ Socks,346,372,27.52,PATTERN,"unrecognized non-color tokens: ['little', 'big', 'foot']",PATTERN,unchanged from v2,
Beam Me Up Compression Socks,352,371,27.22,PATTERN,unrecognized non-color tokens: ['beam'],PATTERN,unchanged from v2,
Udderly Plaid Compression Socks,355,371,27.97,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Moo Print Compression Socks,349,369,27.72,PATTERN,matched: ['print'],PATTERN,unchanged from v2,
Love Letters Ankle Socks,353,368,29.97,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Pink Plaid Ankle Compression Socks,340,368,28.02,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Espresso Ankle Compression Socks,302,368,28.49,PATTERN,unrecognized non-color tokens: ['espresso'],PATTERN,unchanged from v2,
Fuchsia Ankle Compression Socks,340,368,28.4,PATTERN,unrecognized non-color tokens: ['fuchsia'],PATTERN,unchanged from v2,
Cowhide Compression Socks,343,367,27.98,PATTERN,unrecognized non-color tokens: ['cowhide'],PATTERN,unchanged from v2,
Pot O Gold Compression Socks,341,366,27.6,PATTERN,unrecognized non-color tokens: ['pot'],PATTERN,unchanged from v2,
Mediterranean Compression Socks,341,365,27.72,PATTERN,unrecognized non-color tokens: ['mediterranean'],PATTERN,unchanged from v2,
Beam Me Up Ankle Compression Socks,337,364,26.88,PATTERN,unrecognized non-color tokens: ['beam'],PATTERN,unchanged from v2,
Green Navy Compression Socks,343,364,26.79,SOLID,"only color+type tokens: ['green', 'navy', 'compression', 'socks']",SOLID,unchanged from v2,
Cat Paws Ankle Socks,352,363,26.78,PATTERN,"matched: ['cat', 'paws']",PATTERN,unchanged from v2,
Bobsled Beagle Compression Socks,341,362,26.93,PATTERN,"unrecognized non-color tokens: ['bobsled', 'beagle']",PATTERN,unchanged from v2,
Sierra Sunset Compression Socks,339,361,28.15,PATTERN,"unrecognized non-color tokens: ['sierra', 'sunset']",PATTERN,unchanged from v2,
Spring Showers Ankle Socks,347,360,26.63,PATTERN,matched: ['spring'],PATTERN,unchanged from v2,
Spirit Stallions Compression Socks,318,360,28.16,PATTERN,"unrecognized non-color tokens: ['spirit', 'stallions']",PATTERN,unchanged from v2,
Ruby Red Compression Socks,340,359,27.01,SOLID,"only color+type tokens: ['ruby', 'red', 'compression', 'socks']",SOLID,unchanged from v2,
Orca Dance Compression Socks,336,356,27.94,PATTERN,"unrecognized non-color tokens: ['orca', 'dance']",PATTERN,unchanged from v2,
Strawberry Delight Compression Socks,331,356,28.32,PATTERN,"unrecognized non-color tokens: ['strawberry', 'delight']",PATTERN,unchanged from v2,
Pastel Plaid Compression Socks,335,355,25.86,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Pearl Ankle Socks,270,355,28.6,PATTERN,unrecognized non-color tokens: ['pearl'],PATTERN,unchanged from v2,
Prarie Cows Compression Socks,338,354,27.98,PATTERN,"unrecognized non-color tokens: ['prarie', 'cows']",PATTERN,unchanged from v2,
Lemon Zest Compression Socks,324,353,27.85,PATTERN,"unrecognized non-color tokens: ['lemon', 'zest']",PATTERN,unchanged from v2,
Pumpkin Petals Ankle Compression Socks,330,351,28.07,PATTERN,matched: ['pumpkin'],PATTERN,unchanged from v2,
Elephant Safari Compression Socks,321,348,27.56,PATTERN,matched: ['elephant'],PATTERN,unchanged from v2,
Flower Power EasyStretch™ Socks Bundle 3-Pack,338,348,41.46,PATTERN,matched: ['flower'],PATTERN,unchanged from v2,
Dark Lavender Ankle Compression Socks,320,347,28.29,PATTERN,unrecognized non-color tokens: ['dark'],PATTERN,unchanged from v2,
Sweethearts Compression Socks,329,347,28.12,PATTERN,unrecognized non-color tokens: ['sweethearts'],PATTERN,unchanged from v2,
Big Foots Compression Socks,326,347,27.74,PATTERN,"unrecognized non-color tokens: ['big', 'foots']",PATTERN,unchanged from v2,
Fall Poppies Ankle Compression Socks,331,346,28.41,PATTERN,matched: ['fall'],PATTERN,unchanged from v2,
Pink Plaid Compression Socks,329,346,28.09,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Love Stripes Compression Socks,328,345,28.14,PATTERN,matched: ['love'],PATTERN,unchanged from v2,
Mystery EasyStretch™ Socks Bundle 3-Pack,327,345,40.85,AMBIGUOUS,mystery — could be either,PATTERN,mystery grab-bag (no explicit theme),yes
Jungle Life EasyStretch™ Socks,325,344,28.27,PATTERN,"unrecognized non-color tokens: ['jungle', 'life']",PATTERN,unchanged from v2,
Sierra Sunset EasyStretch™ Socks,324,344,28.82,PATTERN,"unrecognized non-color tokens: ['sierra', 'sunset']",PATTERN,unchanged from v2,
Cosmic Pink EasyStretch™ Socks,319,344,28.08,PATTERN,unrecognized non-color tokens: ['cosmic'],PATTERN,unchanged from v2,
Black Ankle Socks Bundle 5-Pack,330,343,52.26,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Jungle Life Ankle Compression Socks,330,343,28.74,PATTERN,"unrecognized non-color tokens: ['jungle', 'life']",PATTERN,unchanged from v2,
White Compression Socks Bundle 5-Pack,328,343,55.3,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Navy Blue EasyStretch™ Socks Bundle 3-Pack,327,342,41.99,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Green Compression Socks,326,340,26.54,SOLID,"only color+type tokens: ['green', 'compression', 'socks']",SOLID,unchanged from v2,
Strawberry Delight Ankle Compression Socks,324,340,27.86,PATTERN,"unrecognized non-color tokens: ['strawberry', 'delight']",PATTERN,unchanged from v2,
Blue Bloom Compression Socks,323,337,27.22,PATTERN,unrecognized non-color tokens: ['bloom'],PATTERN,unchanged from v2,
Navy Blue Compression Socks Bundle 5-Pack,327,337,52.99,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Burnt Cloud EasyStretch™ Socks,321,337,28.28,PATTERN,matched: ['cloud'],PATTERN,unchanged from v2,
Nebula EasyStretch™ Socks,300,337,28.39,PATTERN,unrecognized non-color tokens: ['nebula'],PATTERN,unchanged from v2,
Sage Ankle Compression Socks,316,336,28.52,SOLID,"only color+type tokens: ['sage', 'ankle', 'compression', 'socks']",SOLID,unchanged from v2,
Garden Glow Comfort EasyStretch™ Socks Bundle 5-Pack,333,336,59.94,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['garden', 'glow', 'comfort']",
Light Lavender Ankle Compression Socks,312,334,28.39,PATTERN,unrecognized non-color tokens: ['light'],PATTERN,unchanged from v2,
Pink Rodeo Compression Socks,319,334,28.35,PATTERN,unrecognized non-color tokens: ['rodeo'],PATTERN,unchanged from v2,
Gradients EasyStretch™ Socks 5-Pack Bundle,330,333,56.92,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['gradients'],
Autumn Breeze Ankle Compression Socks,305,331,28.47,PATTERN,matched: ['autumn'],PATTERN,unchanged from v2,
Gray EasyStretch™ Socks Bundle 5-Pack,315,331,55.25,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Elephant Safari Ankle Compression Socks,309,330,28.78,PATTERN,matched: ['elephant'],PATTERN,unchanged from v2,
Halloween Nights EasyStretch™ Socks 3-Pack Bundle,315,329,42.73,PATTERN,matched: ['halloween'],PATTERN,unchanged from v2,
Limey Compression Socks,323,328,28.4,PATTERN,unrecognized non-color tokens: ['limey'],PATTERN,unchanged from v2,
Blue Bloom Ankle Compression Socks,309,327,28.58,PATTERN,unrecognized non-color tokens: ['bloom'],PATTERN,unchanged from v2,
Bear Hugs Compression Socks,310,326,28.28,PATTERN,matched: ['bear'],PATTERN,unchanged from v2,
Desert Palms Ankle Compression Socks,304,325,28.45,PATTERN,matched: ['desert'],PATTERN,unchanged from v2,
Gray Ankle Compression Socks 5-Pack Bundle,322,324,50.78,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Army Camo Ankle Socks,262,323,26.96,PATTERN,matched: ['camo'],PATTERN,unchanged from v2,
Cowgirl Ankle Compression Socks,305,317,28.5,PATTERN,unrecognized non-color tokens: ['cowgirl'],PATTERN,unchanged from v2,
Live Laugh Snoopy Ankle Socks Bundle 3-Pack,306,316,42.03,PATTERN,matched: ['snoopy'],PATTERN,unchanged from v2,
Prarie Cows Ankle Compression Socks,279,316,27.99,PATTERN,"unrecognized non-color tokens: ['prarie', 'cows']",PATTERN,unchanged from v2,
Marine Ankle Compression Socks 3-Pack Bundle,307,315,41.83,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['marine'],
Glitter EasyStretch™ Socks 5-Pack Bundle,305,315,55.79,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['glitter'],
Cowgirl Compression Socks,299,315,28.43,PATTERN,unrecognized non-color tokens: ['cowgirl'],PATTERN,unchanged from v2,
Orca Dance Ankle Compression Socks,285,314,28.95,PATTERN,"unrecognized non-color tokens: ['orca', 'dance']",PATTERN,unchanged from v2,
Udderly Plaid Ankle Compression Socks,299,314,28.09,PATTERN,matched: ['plaid'],PATTERN,unchanged from v2,
Limey Ankle Compression Socks,304,314,27.66,PATTERN,unrecognized non-color tokens: ['limey'],PATTERN,unchanged from v2,
Moo Print Ankle Compression Socks,294,314,28.01,PATTERN,matched: ['print'],PATTERN,unchanged from v2,
Pumpkin Petals Compression Socks,294,313,27.05,PATTERN,matched: ['pumpkin'],PATTERN,unchanged from v2,
Watermelons Ankle Compression Socks,297,312,27.56,PATTERN,unrecognized non-color tokens: ['watermelons'],PATTERN,unchanged from v2,
Saddle Up Compression Socks,292,311,28.43,PATTERN,unrecognized non-color tokens: ['saddle'],PATTERN,unchanged from v2,
Lemon Zest Ankle Compression Socks,283,310,28.77,PATTERN,"unrecognized non-color tokens: ['lemon', 'zest']",PATTERN,unchanged from v2,
Irish Paisley Compression Socks,304,310,28.34,PATTERN,"matched: ['irish', 'paisley']",PATTERN,unchanged from v2,
Watermelons Compression Socks,304,309,27.98,PATTERN,unrecognized non-color tokens: ['watermelons'],PATTERN,unchanged from v2,
Lady Leopard EasyStretch™ Socks,296,309,28.08,PATTERN,"unrecognized non-color tokens: ['lady', 'leopard']",PATTERN,unchanged from v2,
Highland Roses Ankle Compression Socks,255,309,27.91,PATTERN,"unrecognized non-color tokens: ['highland', 'roses']",PATTERN,unchanged from v2,
Peachy Ankle Compression Socks,301,308,27.56,PATTERN,unrecognized non-color tokens: ['peachy'],PATTERN,unchanged from v2,
Pastel Palms Compression Socks,290,307,27.45,PATTERN,"unrecognized non-color tokens: ['pastel', 'palms']",PATTERN,unchanged from v2,
Bear Hugs Ankle Compression Socks,284,306,27.63,PATTERN,matched: ['bear'],PATTERN,unchanged from v2,
Peachy Compression Socks,290,306,28.2,PATTERN,unrecognized non-color tokens: ['peachy'],PATTERN,unchanged from v2,
Seaside Compression Socks,289,304,27.24,PATTERN,unrecognized non-color tokens: ['seaside'],PATTERN,unchanged from v2,
Winter Peanuts Ankle Compression Socks 5-Pack Bundle,294,303,57.65,PATTERN,"matched: ['winter', 'peanuts']",PATTERN,unchanged from v2,
Watermelons EasyStretch™ Socks,295,303,28.22,PATTERN,unrecognized non-color tokens: ['watermelons'],PATTERN,unchanged from v2,
Jungle Life Compression Socks,289,303,27.15,PATTERN,"unrecognized non-color tokens: ['jungle', 'life']",PATTERN,unchanged from v2,
Buckhorn Ankle Compression Socks,290,301,26.52,PATTERN,unrecognized non-color tokens: ['buckhorn'],PATTERN,unchanged from v2,
Jellyfish Ankle Compression Socks,271,297,28.69,PATTERN,matched: ['jellyfish'],PATTERN,unchanged from v2,
Mystic Yeti EasyStretch™ Socks,282,297,28.65,PATTERN,"unrecognized non-color tokens: ['mystic', 'yeti']",PATTERN,unchanged from v2,
Blooming Brights Compression Socks Bundle 5-Pack,295,296,49.61,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['blooming', 'brights']",
Florals EasyStretch™ Socks 5-Pack Bundle,283,296,56.01,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['florals'],
Mediterranean EasyStretch™ Socks,284,295,28.07,PATTERN,unrecognized non-color tokens: ['mediterranean'],PATTERN,unchanged from v2,
Bunny Garden Ankle Compression Socks,277,294,26.84,PATTERN,"unrecognized non-color tokens: ['bunny', 'garden']",PATTERN,unchanged from v2,
Pastel Palms EasyStretch™ Socks,280,293,28.86,PATTERN,"unrecognized non-color tokens: ['pastel', 'palms']",PATTERN,unchanged from v2,
Spring Zing Compression Socks,280,292,27.17,PATTERN,matched: ['spring'],PATTERN,unchanged from v2,
Peppermint Parade EasyStretch™ Socks,266,290,28.34,PATTERN,"unrecognized non-color tokens: ['peppermint', 'parade']",PATTERN,unchanged from v2,
Valentines Day EasyStretch™ Socks 5-Pack Bundle,286,290,55.86,AMBIGUOUS,bundle/offer — could be either,PATTERN,"design/theme token(s): ['valentines', 'day']",
Midnight Sun Ankle Compression Socks,266,290,28.96,PATTERN,matched: ['sun'],PATTERN,unchanged from v2,
Pumpkin Petals EasyStretch™ Socks,279,289,28.02,PATTERN,matched: ['pumpkin'],PATTERN,unchanged from v2,
Desert Palms Compression Socks,275,288,26.91,PATTERN,matched: ['desert'],PATTERN,unchanged from v2,
Starry Cat Ankle Socks,265,287,28.61,PATTERN,matched: ['cat'],PATTERN,unchanged from v2,
Ski Trip EasyStretch™ Socks,261,286,27.35,PATTERN,"unrecognized non-color tokens: ['ski', 'trip']",PATTERN,unchanged from v2,
White Ankle Socks Bundle 5-Pack,270,285,53.71,AMBIGUOUS,bundle/offer — could be either,SOLID,color + type only,
Blue Bloom EasyStretch™ Socks,277,285,27.7,PATTERN,unrecognized non-color tokens: ['bloom'],PATTERN,unchanged from v2,
Lady Leopard Compression Socks,270,285,27.94,PATTERN,"unrecognized non-color tokens: ['lady', 'leopard']",PATTERN,unchanged from v2,
Mediterranean Ankle Compression Socks,262,284,28.77,PATTERN,unrecognized non-color tokens: ['mediterranean'],PATTERN,unchanged from v2,
Lucky Lotus Compression Socks,263,284,26.73,PATTERN,"unrecognized non-color tokens: ['lucky', 'lotus']",PATTERN,unchanged from v2,
Tan EasyStretch™ Gripper Socks,187,284,33.69,PATTERN,unrecognized non-color tokens: ['gripper'],PATTERN,unchanged from v2,
Galactic EasyStretch™ Socks 5-Pack Bundle,271,282,56.87,AMBIGUOUS,bundle/offer — could be either,PATTERN,design/theme token(s): ['galactic'],
Irish Paisley Ankle Compression Socks,258,282,27.39,PATTERN,"matched: ['irish', 'paisley']",PATTERN,unchanged from v2,
Blue Beauty Ankle Socks,245,279,28.85,PATTERN,unrecognized non-color tokens: ['beauty'],PATTERN,unchanged from v2,
Blue EasyStretch™ Socks,257,278,27.82,SOLID,"only color+type tokens: ['blue', 'easystretch', 'socks']",SOLID,unchanged from v2,
Winter Woodstock Ankle Socks,260,276,24.62,PATTERN,matched: ['winter'],PATTERN,unchanged from v2,
Snoopy Lights Compression Socks,252,273,28.99,PATTERN,"matched: ['snoopy', 'lights']",PATTERN,unchanged from v2,
Wrapped Up Ankle Compression Socks,261,272,27.64,PATTERN,unrecognized non-color tokens: ['wrapped'],PATTERN,unchanged from v2,
